goos: linux
goarch: amd64
pkg: github.com/ice-blockchain/subzero/database/query
cpu: AMD Ryzen 9 PRO 7940HS w/ Radeon 780M Graphics 
BenchmarkSelectByKind
    query_where_builder_bench_test.go:49: loading test data from ".testdata/testdb_3M.sqlite3"
    query_where_builder_bench_test.go:51: loaded 1000 event(s)
BenchmarkSelectByKindAndCreatedAtRange-16             	      20	  59022236 ns/op	       486.0 avg-ms/op	       369.0 p50-ms/op	       963.0 p95-ms/op	       244.0 stddev-ms/op	         1.000 stmt-cache-size	 9255684 B/op	  122980 allocs/op
BenchmarkSelectByKindAndCreatedAtRange-16             	      20	  46352926 ns/op	       427.0 avg-ms/op	       388.0 p50-ms/op	       910.0 p95-ms/op	       186.0 stddev-ms/op	         1.000 stmt-cache-size	 9293420 B/op	  124981 allocs/op
BenchmarkSelectByKindAndCreatedAtRange-16             	      20	  43829003 ns/op	       488.0 avg-ms/op	       491.0 p50-ms/op	       624.0 p95-ms/op	       125.0 stddev-ms/op	         1.000 stmt-cache-size	 9358116 B/op	  125608 allocs/op
BenchmarkSelectByKindAndCreatedAtRange-16             	      20	  52710293 ns/op	       510.0 avg-ms/op	       408.0 p50-ms/op	       939.0 p95-ms/op	       229.0 stddev-ms/op	         1.000 stmt-cache-size	 8737408 B/op	  116687 allocs/op
BenchmarkSelectByKindAndCreatedAtRange-16             	      20	  51975872 ns/op	       518.0 avg-ms/op	       415.0 p50-ms/op	      1015 p95-ms/op	       246.0 stddev-ms/op	         1.000 stmt-cache-size	 9070992 B/op	  121390 allocs/op
BenchmarkSelectByKindAndCreatedAtRange-16             	      20	  52123442 ns/op	       542.0 avg-ms/op	       466.0 p50-ms/op	      1017 p95-ms/op	       224.0 stddev-ms/op	         1.000 stmt-cache-size	 8865505 B/op	  117970 allocs/op
BenchmarkSelectByKindAndCreatedAtRange-16             	      20	  51743463 ns/op	       510.0 avg-ms/op	       469.0 p50-ms/op	       984.0 p95-ms/op	       219.0 stddev-ms/op	         1.000 stmt-cache-size	 8730682 B/op	  116807 allocs/op
BenchmarkSelectByKindAndCreatedAtRange-16             	      20	  52511746 ns/op	       456.0 avg-ms/op	       379.0 p50-ms/op	       886.0 p95-ms/op	       195.0 stddev-ms/op	         1.000 stmt-cache-size	 9339038 B/op	  124314 allocs/op
BenchmarkSelectByKindAndCreatedAtRange-16             	      20	  50098768 ns/op	       514.0 avg-ms/op	       447.0 p50-ms/op	       972.0 p95-ms/op	       238.0 stddev-ms/op	         1.000 stmt-cache-size	 8868220 B/op	  118031 allocs/op
BenchmarkSelectByKindAndCreatedAtRange-16             	      20	  50594962 ns/op	       495.0 avg-ms/op	       427.0 p50-ms/op	       921.0 p95-ms/op	       205.0 stddev-ms/op	         1.000 stmt-cache-size	 9315249 B/op	  124524 allocs/op
BenchmarkSelectByKindAndID
BenchmarkSelectByKindAndID-16                         	      20	    146330 ns/op	         2.000 avg-ms/op	         2.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   12034 B/op	     262 allocs/op
BenchmarkSelectByKindAndID-16                         	      20	    130839 ns/op	         1.000 avg-ms/op	         2.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   11776 B/op	     256 allocs/op
BenchmarkSelectByKindAndID-16                         	      20	    152079 ns/op	         2.000 avg-ms/op	         2.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   11736 B/op	     257 allocs/op
BenchmarkSelectByKindAndID-16                         	      20	    113209 ns/op	         1.000 avg-ms/op	         1.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   11018 B/op	     244 allocs/op
BenchmarkSelectByKindAndID-16                         	      20	    131725 ns/op	         1.000 avg-ms/op	         2.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   11130 B/op	     247 allocs/op
BenchmarkSelectByKindAndID-16                         	      20	    141902 ns/op	         1.000 avg-ms/op	         2.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   18899 B/op	     247 allocs/op
BenchmarkSelectByKindAndID-16                         	      20	    115476 ns/op	         1.000 avg-ms/op	         1.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   11026 B/op	     245 allocs/op
BenchmarkSelectByKindAndID-16                         	      20	    121186 ns/op	         1.000 avg-ms/op	         1.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   11047 B/op	     245 allocs/op
BenchmarkSelectByKindAndID-16                         	      20	    133591 ns/op	         1.000 avg-ms/op	         2.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   11119 B/op	     247 allocs/op
BenchmarkSelectByKindAndID-16                         	      20	    125960 ns/op	         1.000 avg-ms/op	         2.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   11650 B/op	     256 allocs/op
BenchmarkSelectByKindAndID-16                         	      20	    110766 ns/op	         1.000 avg-ms/op	         1.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   10928 B/op	     243 allocs/op
BenchmarkSelectByKindAndID-16                         	      20	    150941 ns/op	         2.000 avg-ms/op	         2.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   11323 B/op	     252 allocs/op
BenchmarkSelectByKindAndID-16                         	      20	    111380 ns/op	         1.000 avg-ms/op	         1.000 p50-ms/op	         1.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   10964 B/op	     243 allocs/op
BenchmarkSelectByKindAndID-16                         	      20	    104297 ns/op	         1.000 avg-ms/op	         1.000 p50-ms/op	         1.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   11472 B/op	     252 allocs/op
BenchmarkSelectByKindAndID-16                         	      20	    115711 ns/op	         1.000 avg-ms/op	         1.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   10882 B/op	     242 allocs/op
